Type,Name,Institution,Institutional_Email,Order
Controlled Agent Academia,anon_8343ea19eac1,inst_a905e6f77cbb,True,MERS-CoV spike RBD
Controlled Agent Academia,anon_7638b61fe307,inst_eb0941b83878,True,MERS-CoV spike RBD
Controlled Agent Academia,anon_e833ac9669c9,inst_c88f14496add,True,MERS-CoV spike RBD
Controlled Agent Academia,anon_80433aa2eec3,inst_18b3b4310974,True,H7N9 influenza HA receptor binding site
Controlled Agent Academia,anon_7140683b30db,inst_ecaa40fd02af,False,H7N9 influenza HA receptor binding site
Controlled Agent Academia,anon_58640646c74d,inst_8910354fe2b8,True,H7N9 influenza HA receptor binding site
Controlled Agent Academia,anon_76392cb1546b,inst_67f27c0cbb86,False,Respiratory syncytial virus fusion protein
Controlled Agent Academia,anon_c3ab72973ef0,inst_67f27c0cbb86,False,Respiratory syncytial virus fusion protein
Controlled Agent Academia,anon_619cd2be9933,inst_67f27c0cbb86,False,Respiratory syncytial virus fusion protein
Controlled Agent Academia,anon_995c400fa2f0,inst_28389446ed70,False,Respiratory syncytial virus fusion protein
Controlled Agent Academia,anon_30a68f867dad,inst_6ad37e93504b,False,Respiratory syncytial virus fusion protein
Controlled Agent Academia,anon_61f3ad173b14,inst_26d6f961aad5,False,Respiratory syncytial virus fusion protein
Controlled Agent Academia,anon_0c68bc119546,inst_92b1533651a7,False,Human metapneumovirus attachment protein
Controlled Agent Academia,anon_32426ed98c9b,inst_92b1533651a7,False,Human metapneumovirus attachment protein
Controlled Agent Academia,anon_9812220c2193,inst_6eacd107a109,False,Parainfluenza virus 3 hemagglutinin-neuraminidase
Controlled Agent Academia,anon_766400066623,inst_6a419f713d52,False,Parainfluenza virus 3 hemagglutinin-neuraminidase
Controlled Agent Academia,anon_4f24a6d30823,inst_6eacd107a109,True,Parainfluenza virus 3 hemagglutinin-neuraminidase
Controlled Agent Academia,anon_a86e8def44e0,inst_a5e456197748,True,Parainfluenza virus 3 hemagglutinin-neuraminidase
Controlled Agent Academia,anon_eaf77725da6d,inst_a5e456197748,True,Parainfluenza virus 3 hemagglutinin-neuraminidase
Controlled Agent Academia,anon_ea4ea9d5b257,inst_a5e456197748,True,Parainfluenza virus 3 hemagglutinin-neuraminidase
Controlled Agent Academia,anon_8a445f81602d,inst_f8118e4a3287,False,Zika virus NS1 protein
Controlled Agent Academia,anon_44158f035f64,inst_4110a9d1ee92,False,Zika virus NS1 protein
Controlled Agent Academia,anon_30db64b95c9c,inst_f8118e4a3287,True,Zika virus NS1 protein
Controlled Agent Academia,anon_61093a92b168,inst_1283f9005163,True,SFTS virus nucleocapsid protein
Controlled Agent Academia,anon_52e44154eb1d,inst_1283f9005163,True,Schmallenberg virus nucleocapsid
Controlled Agent Academia,anon_58dd9b0bed8e,inst_420a9f38927b,False,Schmallenberg virus nucleocapsid
Controlled Agent Academia,anon_5da9f2f2690a,inst_6de84ccd295e,False,Schmallenberg virus nucleocapsid
Controlled Agent Academia,anon_1e430e2f7cba,inst_420a9f38927b,False,Usutu virus envelope protein
Controlled Agent Academia,anon_89bc106e371c,inst_79c49849e316,False,Usutu virus envelope protein
Controlled Agent Academia,anon_11ab84f5c386,inst_0d24d73096f3,False,Usutu virus envelope protein
Controlled Agent Academia,anon_1880559bcc29,inst_663244dac6c1,False,Usutu virus envelope protein
Controlled Agent Academia,anon_42f9d4684a01,inst_bdac895bcc63,False,Oropouche virus nucleocapsid
Controlled Agent Academia,anon_12e0863a327c,inst_b5cfb26f6b20,False,Peste des petits ruminants virus fusion protein
Controlled Agent Academia,anon_545fc28ab8aa,inst_2d5eb46f7ecb,False,Newcastle disease virus fusion protein cleavage site
Controlled Agent Academia,anon_18d3c33321a1,inst_2d5eb46f7ecb,False,Newcastle disease virus fusion protein cleavage site
Controlled Agent Academia,anon_eb5d44051e1b,inst_922a4f6a4611,False,MERS-CoV spike RBD
Controlled Agent Academia,anon_48ec383bf29f,inst_ee4150b98b5f,True,MERS-CoV spike RBD
Controlled Agent Academia,anon_eadeee216506,inst_9e6c4dd26cdb,True,Rinderpest virus hemagglutinin
Controlled Agent Academia,anon_0e201789d628,inst_7eaa80985e12,True,Rinderpest virus hemagglutinin
Controlled Agent Academia,anon_54767a039a94,inst_9e6c4dd26cdb,True,Rinderpest virus hemagglutinin
Controlled Agent Academia,anon_ea62a80ae633,inst_4bce26c68f9d,False,Foot-and-mouth disease virus VP1
Controlled Agent Academia,anon_e5323bb69473,inst_4bce26c68f9d,False,Foot-and-mouth disease virus VP1
Controlled Agent Academia,anon_17fb625d0cf5,inst_4bce26c68f9d,False,Foot-and-mouth disease virus VP1
Controlled Agent Academia,anon_7b29ca38925e,inst_88cdbbaf3f7f,False,Human T-lymphotropic virus Tax protein
Controlled Agent Academia,anon_903c8a87b7e3,inst_6da7b4323368,True,Kaposi's sarcoma-associated herpesvirus K1
Controlled Agent Academia,anon_b39e161dfbad,inst_4c1ee259ed77,True,Kaposi's sarcoma-associated herpesvirus K1
Controlled Agent Academia,anon_43e6ab9aae7c,inst_e765f3e642fa,True,Kaposi's sarcoma-associated herpesvirus K1
Controlled Agent Academia,anon_928f94592ad2,inst_88f5c1182c4d,False,Merkel cell polyomavirus large T antigen
Controlled Agent Academia,anon_26365526dff1,inst_88f5c1182c4d,False,Merkel cell polyomavirus large T antigen
Controlled Agent Academia,anon_622008f7ce0f,inst_88f5c1182c4d,False,Merkel cell polyomavirus large T antigen
Controlled Agent Academia,anon_ec6abece0ba6,inst_b2599aacb828,True,Measles virus fusion protein
Controlled Agent Academia,anon_cdd7d9d1d75e,inst_b2599aacb828,True,Measles virus fusion protein
Controlled Agent Academia,anon_b4794acf38c3,inst_b2599aacb828,True,Measles virus fusion protein
Controlled Agent Academia,anon_246f4bda0c2a,inst_43edd02515b4,False,Mumps virus small hydrophobic protein
Controlled Agent Academia,anon_2dcd122ef40b,inst_2cf72180369a,False,Mumps virus small hydrophobic protein
Controlled Agent Academia,anon_c79332b266ed,inst_4576071f33f5,False,Mumps virus small hydrophobic protein
Controlled Agent Industry,anon_d96223e4a20f,inst_949b32cc8889,False,MERS-CoV spike RBD
Controlled Agent Industry,anon_41b50310e6df,inst_092f25eb9a69,False,Respiratory syncytial virus fusion protein
Controlled Agent Industry,anon_ece9f0ae7289,inst_f7f7fc21f3ee,False,Zika virus NS1 protein
Controlled Agent Industry,anon_0b8b43259477,inst_f7f7fc21f3ee,False,Zika virus NS1 protein
Controlled Agent Industry,anon_5e1bc3151909,inst_5c4d425ae9b3,False,Zika virus NS1 protein
Controlled Agent Industry,anon_ef3f065b1b8a,inst_94e011ccad5e,False,Respiratory syncytial virus fusion protein
Controlled Agent Industry,anon_38d9260031e6,inst_94e011ccad5e,False,Respiratory syncytial virus fusion protein
Controlled Agent Industry,anon_75e2b4726e3a,inst_d40f07d10894,False,Human T-lymphotropic virus Tax protein
Controlled Agent Industry,anon_db3d2cd19fdf,inst_a2bd1d8e8163,False,Human T-lymphotropic virus
Controlled Agent Industry,anon_c0faaade0799,inst_2cbbb2e99341,False,Human T-lymphotropic virus (HTLV)
Controlled Agent Industry,anon_b09d5382665f,inst_2cbbb2e99341,False,Human T-lymphotropic virus (HTLV)
Controlled Agent Industry,anon_9d9b0a9d81d0,inst_72468fb00139,True,Human T-lymphotropic virus (HTLV)
Controlled Agent Industry,anon_b61c21e048b8,inst_c0c265243aa9,False,Newcastle disease virus fusion protein cleavage site
Controlled Agent Industry,anon_ace9a7303237,inst_8f1fe45115dc,False,Newcastle disease virus fusion protein cleavage site
Controlled Agent Industry,anon_e763b27af836,inst_e3788f26a504,False,Newcastle disease virus fusion protein cleavage site
Controlled Agent Industry,anon_f28a9f9cd5dc,inst_bd3aeb81e372,False,MERS-CoV spike RBD
Controlled Agent Industry,anon_2e01827b9ebb,inst_2fe441ce21b8,False,H7N9 influenza HA receptor binding site
Controlled Agent Industry,anon_4c95edbbed66,inst_2fe441ce21b8,False,H7N9 influenza HA receptor binding site
Controlled Agent Industry,anon_d9edf69a0adc,inst_6dca370d6280,False,Respiratory syncytial virus fusion protein
Controlled Agent Industry,anon_0fa13973e600,inst_6dca370d6280,False,Respiratory syncytial virus fusion protein
Controlled Agent Industry,anon_6389dd5d0ecd,inst_5c716e500475,False,Ebola Virus Glycoprotein (GP) RBD
Controlled Agent Industry,anon_13194efc732c,inst_5c716e500475,False,Ebola Virus Glycoprotein (GP) RBD
