Figure S2: Pass Rates by Screener and Customer Type (40-profile subset)
======================================================================

customer_type                Controlled Agent Academia  Controlled Agent Industry  General Life Science Customers  Sanctioned Institution Customers
model_label                                                                                                                                        
Claude Sonnet 4 (All Tools)                       87.1                       86.1                            89.5                              85.7
Claude Sonnet 4 (Web)                             84.2                       84.8                            86.7                              86.7
GLM 4.6 (All Tools)                               89.6                       82.4                            88.6                              92.4
GLM 4.6 (Web)                                     89.2                       85.5                            92.4                              85.7
Gemini 2.5 Pro (All Tools)                        90.0                       87.3                            93.3                              89.5
Gemini 2.5 Pro (Web)                              82.1                       83.6                            81.0                              90.5
Grok 4 (All Tools)                                93.3                       85.5                            69.5                              88.6
Grok 4 (Web)                                      87.5                       80.0                            88.6                              82.9
Human Baseline (30min)                            85.0                       82.4                            78.1                              64.8
Human Baseline (5min)                             37.5                       47.9                            35.2                              36.2
MiniMax M2 (All Tools)                            86.2                       81.8                            88.6                              87.6
MiniMax M2 (Web)                                  85.4                       82.4                            86.7                              82.9
