Figure S3: Average Web Searches per Customer by Model
======================================================================

Model                                         Avg Web Searches
-------------------------------------------------------------
Gemini 2.5 Pro (All Tools)                                 1.4
Gemini 2.5 Pro (Web)                                       3.2
GLM 4.6 (All Tools)                                        4.0
GLM 4.6 (Web)                                             11.3
Claude Sonnet 4 (All Tools)                                4.6
Claude Sonnet 4 (Web)                                      9.7
Grok 4 (All Tools)                                         2.9
Grok 4 (Web)                                               6.0
MiniMax M2 (All Tools)                                     4.0
MiniMax M2 (Web)                                           9.6
