Figure S4: Pass Rates by Screener and Test Category (Full Dataset, 134 Profiles)
======================================================================

test_category                flag_accuracy  claim_support  source_reliability  work_relevance  all_metrics
model_label                                                                                               
Claude Sonnet 4 (All Tools)           90.9           85.6                85.6            89.1         87.8
Claude Sonnet 4 (Web)                 92.1           81.6                81.7            88.0         85.8
GLM 4.6 (All Tools)                   94.5           89.1                84.9            81.7         87.6
GLM 4.6 (Web)                         93.3           83.2                85.7            91.4         88.4
Gemini 2.5 Pro (All Tools)            90.2           92.3                87.1            76.6         86.6
Gemini 2.5 Pro (Web)                  86.6           86.4                78.9            76.6         82.1
Grok 4 (All Tools)                    90.9           89.0                82.7            78.9         85.4
Grok 4 (Web)                          92.7           85.4                79.2            83.4         85.2
MiniMax M2 (All Tools)                90.9           83.9                83.4            85.7         86.0
MiniMax M2 (Web)                      87.8           81.6                80.0            86.3         83.9
