Figure S5: Pass Rates by Screener and Task (Full Dataset, 134 Profiles)
======================================================================

task                         affiliation  domain  institution  sanctions  work
model_label                                                                   
Claude Sonnet 4 (All Tools)         86.4    85.2         77.0       96.9  86.1
Claude Sonnet 4 (Web)               85.9    85.4         73.9       88.7  81.5
GLM 4.6 (All Tools)                 89.8    87.2         82.4       95.4  82.7
GLM 4.6 (Web)                       91.3    84.7         81.3       85.2  86.1
Gemini 2.5 Pro (All Tools)          89.0    92.6         86.4       96.9  81.0
Gemini 2.5 Pro (Web)                83.4    86.7         85.9       78.0  79.2
Grok 4 (All Tools)                  87.7    85.7         79.5       92.8  83.4
Grok 4 (Web)                        84.1    82.4         77.2       86.4  85.1
MiniMax M2 (All Tools)              86.4    84.7         73.7       90.0  86.5
MiniMax M2 (Web)                    84.9    85.4         78.8       78.0  81.9
