Figure S6: Pass Rates by Screener and Customer Type (Full Dataset, 134 Profiles)
======================================================================

customer_type                Controlled Agent Academia  Controlled Agent Industry  General Life Science Customers  Sanctioned Institution Customers
model_label                                                                                                                                        
Claude Sonnet 4 (All Tools)                       87.6                       85.1                            86.1                              85.0
Claude Sonnet 4 (Web)                             82.8                       82.3                            82.8                              84.5
GLM 4.6 (All Tools)                               88.6                       81.8                            86.8                              90.5
GLM 4.6 (Web)                                     86.7                       81.8                            87.0                              86.6
Gemini 2.5 Pro (All Tools)                        90.0                       84.6                            87.5                              91.6
Gemini 2.5 Pro (Web)                              82.0                       83.2                            79.5                              85.8
Grok 4 (All Tools)                                90.2                       82.5                            77.8                              87.9
Grok 4 (Web)                                      84.5                       78.6                            83.0                              85.8
MiniMax M2 (All Tools)                            88.3                       77.9                            84.2                              83.2
MiniMax M2 (Web)                                  84.8                       76.2                            81.4                              81.8
