Plot 30: Pass Rate by Dataset Size
============================================================

Model             40-profile   Full (134)     Diff
--------------------------------------------------
Gemini (AT)            89.8%        88.7%    -1.1%
Gemini (W)             83.7%        82.4%    -1.3%
GLM (AT)               88.0%        87.2%    -0.8%
GLM (W)                88.1%        85.7%    -2.4%
Claude (AT)            87.0%        86.3%    -0.7%
Claude (W)             85.2%        83.0%    -2.2%
Grok (AT)              86.3%        85.7%    -0.7%
Grok (W)               84.9%        83.2%    -1.7%
MiniMax (AT)           85.7%        84.4%    -1.3%
MiniMax (W)            84.4%        81.8%    -2.6%
