         Model  Time per Customer (min)
   Gemini (AT)                     1.34
    Gemini (W)                     1.33
      GLM (AT)                     1.68
       GLM (W)                     1.40
   Claude (AT)                     1.48
    Claude (W)                     1.03
     Grok (AT)                     2.65
      Grok (W)                     2.61
  MiniMax (AT)                     2.22
   MiniMax (W)                     2.45
Human baseline                    23.23
    Human (5m)                    11.19
